Element type,Element Label,Size,Unit,Material,Price
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.541,pieces,sina perete,5.4641
accessory,surub diblu perete,3,pieces,surub diblu perete,7.17
pal,C5.lat1,0.12,sheet,Alb W962ST2,9.57
pal,C5.jos,0.150995,sheet,Alb W962ST2,9.80285
pal,C5.lat2,0.12,sheet,Alb W962ST2,9.57
pal,C5.sus,0.150995,sheet,Alb W962ST2,9.80285
pfl,C5.pfl,0.212652,sheet,Alb,4
accessory,surub PFL,14,pieces,surub PFL,0.3626
front,C5_1,0.105732,m2,A34R3,32
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
front,C5_2,0.105732,m2,A34R3,32
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
pal,C5.pol,0.1414,sheet,Alb W962ST2,11.7168
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.541,pieces,sina perete,5.4641
accessory,surub diblu perete,3,pieces,surub diblu perete,7.17
pal,C6.lat1,0.12,sheet,Alb W962ST2,9.57
pal,C6.jos,0.150995,sheet,Alb W962ST2,9.80285
pal,C6.lat2,0.12,sheet,Alb W962ST2,9.57
pal,C6.sus,0.150995,sheet,Alb W962ST2,9.80285
pfl,C6.pfl,0.212652,sheet,Alb,4
accessory,surub PFL,14,pieces,surub PFL,0.3626
front,C6_1,0.105732,m2,A34R3,32
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
front,C6_2,0.105732,m2,A34R3,32
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
pal,C6.pol,0.1414,sheet,Alb W962ST2,11.7168
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.4,pieces,sina perete,4.04
accessory,surub diblu perete,2,pieces,surub diblu perete,4.78
pal,C7.lat1,0.38,sheet,Alb W962ST2,27.2475
pal,C7.jos,0.145236,sheet,Alb W962ST2,9.299479999999999
pal,C7.lat2,0.38,sheet,Alb W962ST2,27.2475
pal,C7.sus,0.145236,sheet,Alb W962ST2,9.299479999999999
pfl,C7.pfl,0.374616,sheet,Alb,8
accessory,surub PFL,18,pieces,surub PFL,0.4662
front,C7_1,0.374616,m2,A34R3,115
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
pal,C7.pol,0.13832,sheet,Alb W962ST2,9.67904
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
pal,C7.pol,0.13832,sheet,Alb W962ST2,9.67904
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
pal,C7.pol,0.13832,sheet,Alb W962ST2,9.67904
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
pal,C7.pol,0.13832,sheet,Alb W962ST2,9.67904
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
