Element type,Element Label,Size,Unit,Material,Price
pal,C2.spate,0.638568,sheet,Alb W962ST2,36.0
pal,C2.leg,0.0864,sheet,Alb W962ST2,7.084479999999999
pal,C2.leg,0.0864,sheet,Alb W962ST2,7.084479999999999
pal,C2.leg,0.0282,sheet,Alb W962ST2,2.0067399999999997
front,C2_1,0.205902,m2,A34R3,63
front,C2_2,0.205902,m2,A34R3,63
pfl,C2.pfl,0.661248,sheet,Alb,14
accessory,surub PFL,22,pieces,surub PFL,0.5698
accessory,balama usa franta,2,pieces,balama usa franta,44.8
accessory,balama 170 deg,2,pieces,balama 170 deg,34.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,picioare,6,pieces,picioare,7.5
accessory,clema plinta,3,pieces,clema plinta,2.0999999999999996
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub blat,4,pieces,surub blat,0.156
accessory,L,2,pieces,L,5.48
accessory,surub,19,pieces,surub,3.2622999999999998
accessory,plinta,0.6,pieces,plinta,8.1228
accessory,sipca apa,1.8,pieces,sipca apa,18.1494
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.6,pieces,plinta,8.1228
accessory,sipca apa,0.6,pieces,sipca apa,6.0498
pal,C3.jos,0.3,sheet,Alb W962ST2,22.712
pal,C3.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C3.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C3.leg1,0.0564,sheet,Alb W962ST2,7.02696
pal,C3.leg2,0.0564,sheet,Alb W962ST2,7.02696
pfl,C3.pfl,0.439848,sheet,Alb,9
accessory,surub PFL,18,pieces,surub PFL,0.4662
pal,C3.ser.jos,0.23472,sheet,Alb W962ST2,13.0
pal,C3.ser.sp,0.032436,sheet,Alb W962ST2,2.70289
accessory,tandembox M,1,pieces,tandembox M,200.0
accessory,surub 3.5x16,18,pieces,surub 3.5x16,0.6300000000000001
pal,C3.pol,0.27072,sheet,Alb W962ST2,17.01348
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
pal,C3.pol,0.27072,sheet,Alb W962ST2,17.01348
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
front,C3_1,0.087016,m2,A34R3,26
accessory,maner,1,pieces,maner,10.0
accessory,sipca apa,0.45,pieces,sipca apa,4.53735
accessory,plinta,0.45,pieces,plinta,6.0921
accessory,surub intre corpuri,10,pieces,surub intre corpuri,0.39
front,C4_1,0.329148,m2,A34R3,101
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
accessory,picioare,6,pieces,picioare,7.5
accessory,clema plinta,3.0,pieces,clema plinta,2.0999999999999996
accessory,surub 3.5x16,24,pieces,surub 3.5x16,0.8400000000000001
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,1.1,pieces,plinta,14.891800000000002
accessory,sipca apa,1.1,pieces,sipca apa,11.0913
pal,C5.jos,0.55,sheet,Alb W962ST2,38.497
pal,C5.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C5.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C5.leg1,0.1064,sheet,Alb W962ST2,13.59696
pal,C5.leg2,0.1064,sheet,Alb W962ST2,13.59696
accessory,surub PFL,24,pieces,surub PFL,0.6215999999999999
pal,C5.leg,0.1064,sheet,Alb W962ST2,9.79848
front,C5_1,0.403686,m2,A34R3,124
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
front,C5_2,0.403686,m2,A34R3,124
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
accessory,picioare,2,pieces,picioare,2.5
accessory,clema plinta,1.0,pieces,clema plinta,0.7
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.15,pieces,plinta,2.0307
accessory,sipca apa,0.15,pieces,sipca apa,1.51245
pal,C6.jos,0.075,sheet,Alb W962ST2,8.1055
pal,C6.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C6.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C6.leg1,0.0114,sheet,Alb W962ST2,0.81396
pal,C6.leg2,0.0114,sheet,Alb W962ST2,0.81396
pfl,C6.pfl,0.107748,sheet,Alb,2
accessory,surub PFL,12,pieces,surub PFL,0.31079999999999997
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,Joly150500,1,pieces,Joly150500,150.0
pfl,C6.pfl,0.107748,sheet,Alb,2
accessory,surub PFL,12,pieces,surub PFL,0.31079999999999997
front,C6_1,0.107748,m2,A34R3,33
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.6,pieces,sina perete,6.06
accessory,surub diblu perete,3,pieces,surub diblu perete,7.17
pal,S1.lat1,0.2,sheet,Alb W962ST2,15.641
pal,S1.jos,0.225036,sheet,Alb W962ST2,14.01348
pal,S1.lat2,0.2,sheet,Alb W962ST2,15.641
pal,S1.sus,0.225036,sheet,Alb W962ST2,14.01348
pfl,S1.pfl,0.295616,sheet,Alb,6
accessory,surub PFL,14,pieces,surub PFL,0.3626
pal,S1.pol,0.21432,sheet,Alb W962ST2,16.151040000000002
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
front,S1_1,0.147312,m2,A34R3,45
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
front,S1_2,0.147312,m2,A34R3,45
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.3,pieces,sina perete,3.03
accessory,surub diblu perete,1,pieces,surub diblu perete,2.39
pal,S2.lat1,0.2,sheet,Alb W962ST2,15.641
pal,S2.jos,0.105336,sheet,Alb W962ST2,6.94248
pal,S2.lat2,0.2,sheet,Alb W962ST2,15.641
pal,S2.sus,0.105336,sheet,Alb W962ST2,6.94248
pfl,S2.pfl,0.146816,sheet,Alb,3
accessory,surub PFL,10,pieces,surub PFL,0.259
pal,S2.pol,0.10032,sheet,Alb W962ST2,6.94304
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
front,S2_1,0.146816,m2,A34R3,45
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
pal,S3.jos,0.384648,sheet,Alb W962ST2,22.0
pal,S3.sus,0.384648,sheet,Alb W962ST2,22.0
pal,S3.pol,0.384648,sheet,Alb W962ST2,22.0
pal,S3.spate,0.341,sheet,Alb W962ST2,19.0
pal,S3.lat1,0.2,sheet,Alb W962ST2,15.641
pal,S3.lat2,0.2,sheet,Alb W962ST2,15.641
front,S3_1,0.138384,m2,A34R3,42
front,S3_2,0.088784,m2,A34R3,27
pfl,S3.pfl,0.295616,sheet,Alb,6
accessory,surub PFL,14,pieces,surub PFL,0.3626
accessory,balama usa franta,2,pieces,balama usa franta,44.8
accessory,balama 170 deg,2,pieces,balama 170 deg,34.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub,20,pieces,surub,3.4339999999999997
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.6,pieces,sina perete,6.06
accessory,surub diblu perete,3,pieces,surub diblu perete,7.17
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.212,pieces,sina perete,2.1412
accessory,surub diblu perete,1,pieces,surub diblu perete,2.39
pal,S4.lat1,0.2,sheet,Alb W962ST2,15.641
pal,S4.jos,0.070224,sheet,Alb W962ST2,4.62832
pal,S4.lat2,0.2,sheet,Alb W962ST2,15.641
pal,S4.sus,0.070224,sheet,Alb W962ST2,4.62832
pfl,S4.pfl,0.103168,sheet,Alb,2
accessory,surub PFL,8,pieces,surub PFL,0.2072
front,S4_1,0.103168,m2,A34R3,31
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.6,pieces,sina perete,6.06
accessory,surub diblu perete,3,pieces,surub diblu perete,7.17
pal,S5.lat1,0.18,sheet,Alb W962ST2,14.462499999999999
pal,S5.jos,0.225036,sheet,Alb W962ST2,14.01348
pal,S5.lat2,0.18,sheet,Alb W962ST2,14.462499999999999
pal,S5.sus,0.225036,sheet,Alb W962ST2,14.01348
pfl,S5.pfl,0.265816,sheet,Alb,5
accessory,surub PFL,14,pieces,surub PFL,0.3626
front,S5_1,0.132462,m2,A34R3,40
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
front,S5_2,0.132462,m2,A34R3,40
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
blat,Blat,1.5,m,Stejar Halifax 600,520
blat,Blat2,2.6,m,Stejar Halifax 600,902
